path,contains_dataset_path,dataset_path,contains_num_vectors,num_vectors_value,contains_embedding_dim,embedding_dim_value,contains_k,k_value,methods_detected,notes
python/jupyter/results/benchmark_dim1024_k100_q.json,False,,True,1200000,True,1024,True,100,float;avx2;binary;int8;float16;mf;pca2;pca4;pca8;pca16;pca32;twostep_rf2;twostep_rf5;twostep_rf10;twostep_rf25;twostep_rf50;ts_mf_rf2;ts_mf_rf5;ts_mf_rf10;ts_mf_rf25;ts_mf_rf50,no dataset path found
python/jupyter/results/benchmark_dim1024_k100_re.json,False,,True,1200000,True,1024,True,100,float;avx2;binary;int8;float16;mf;pca2;pca4;pca8;pca16;pca32;twostep_rf2;twostep_rf5;twostep_rf10;twostep_rf25;twostep_rf50;ts_mf_rf2;ts_mf_rf5;ts_mf_rf10;ts_mf_rf25;ts_mf_rf50,no dataset path found
python/jupyter/results/benchmark_dim1024_k100_rv.json,False,,True,1200000,True,1024,True,100,float;avx2;binary;int8;float16;mf;pca2;pca4;pca8;pca16;pca32;twostep_rf2;twostep_rf5;twostep_rf10;twostep_rf25;twostep_rf50;ts_mf_rf2;ts_mf_rf5;ts_mf_rf10;ts_mf_rf25;ts_mf_rf50,no dataset path found
python/jupyter/results/benchmark_dim1024_k10_q.json,False,,True,1200000,True,1024,True,10,float;avx2;binary;int8;float16;mf;pca2;pca4;pca8;pca16;pca32;twostep_rf2;twostep_rf5;twostep_rf10;twostep_rf25;twostep_rf50;ts_mf_rf2;ts_mf_rf5;ts_mf_rf10;ts_mf_rf25;ts_mf_rf50,no dataset path found
python/jupyter/results/benchmark_dim1024_k10_re.json,False,,True,1200000,True,1024,True,10,float;avx2;binary;int8;float16;mf;pca2;pca4;pca8;pca16;pca32;twostep_rf2;twostep_rf5;twostep_rf10;twostep_rf25;twostep_rf50;ts_mf_rf2;ts_mf_rf5;ts_mf_rf10;ts_mf_rf25;ts_mf_rf50,no dataset path found
python/jupyter/results/benchmark_dim1024_k10_rv.json,False,,True,1200000,True,1024,True,10,float;avx2;binary;int8;float16;mf;pca2;pca4;pca8;pca16;pca32;twostep_rf2;twostep_rf5;twostep_rf10;twostep_rf25;twostep_rf50;ts_mf_rf2;ts_mf_rf5;ts_mf_rf10;ts_mf_rf25;ts_mf_rf50,no dataset path found
python/jupyter/results/benchmark_dim1024_k25_q.json,False,,True,1200000,True,1024,True,25,float;avx2;binary;int8;float16;mf;pca2;pca4;pca8;pca16;pca32;twostep_rf2;twostep_rf5;twostep_rf10;twostep_rf25;twostep_rf50;ts_mf_rf2;ts_mf_rf5;ts_mf_rf10;ts_mf_rf25;ts_mf_rf50,no dataset path found
python/jupyter/results/benchmark_dim1024_k25_re.json,False,,True,1200000,True,1024,True,25,float;avx2;binary;int8;float16;mf;pca2;pca4;pca8;pca16;pca32;twostep_rf2;twostep_rf5;twostep_rf10;twostep_rf25;twostep_rf50;ts_mf_rf2;ts_mf_rf5;ts_mf_rf10;ts_mf_rf25;ts_mf_rf50,no dataset path found
python/jupyter/results/benchmark_dim1024_k25_rv.json,False,,True,1200000,True,1024,True,25,float;avx2;binary;int8;float16;mf;pca2;pca4;pca8;pca16;pca32;twostep_rf2;twostep_rf5;twostep_rf10;twostep_rf25;twostep_rf50;ts_mf_rf2;ts_mf_rf5;ts_mf_rf10;ts_mf_rf25;ts_mf_rf50,no dataset path found
python/jupyter/results/benchmark_dim768_k100_q.json,False,,True,1200000,True,768,True,100,float;avx2;binary;int8;float16;mf;pca2;pca4;pca8;pca16;pca32;twostep_rf2;twostep_rf5;twostep_rf10;twostep_rf25;twostep_rf50;ts_mf_rf2;ts_mf_rf5;ts_mf_rf10;ts_mf_rf25;ts_mf_rf50,no dataset path found
python/jupyter/results/benchmark_dim768_k100_re.json,False,,True,1200000,True,768,True,100,float;avx2;binary;int8;float16;mf;pca2;pca4;pca8;pca16;pca32;twostep_rf2;twostep_rf5;twostep_rf10;twostep_rf25;twostep_rf50;ts_mf_rf2;ts_mf_rf5;ts_mf_rf10;ts_mf_rf25;ts_mf_rf50,no dataset path found
python/jupyter/results/benchmark_dim768_k100_rv.json,False,,True,1200000,True,768,True,100,float;avx2;binary;int8;float16;mf;pca2;pca4;pca8;pca16;pca32;twostep_rf2;twostep_rf5;twostep_rf10;twostep_rf25;twostep_rf50;ts_mf_rf2;ts_mf_rf5;ts_mf_rf10;ts_mf_rf25;ts_mf_rf50,no dataset path found
python/jupyter/results/benchmark_dim768_k10_q.json,False,,True,1200000,True,768,True,10,float;avx2;binary;int8;float16;mf;pca2;pca4;pca8;pca16;pca32;twostep_rf2;twostep_rf5;twostep_rf10;twostep_rf25;twostep_rf50;ts_mf_rf2;ts_mf_rf5;ts_mf_rf10;ts_mf_rf25;ts_mf_rf50,no dataset path found
python/jupyter/results/benchmark_dim768_k10_re.json,False,,True,1200000,True,768,True,10,float;avx2;binary;int8;float16;mf;pca2;pca4;pca8;pca16;pca32;twostep_rf2;twostep_rf5;twostep_rf10;twostep_rf25;twostep_rf50;ts_mf_rf2;ts_mf_rf5;ts_mf_rf10;ts_mf_rf25;ts_mf_rf50,no dataset path found
python/jupyter/results/benchmark_dim768_k10_rv.json,False,,True,1200000,True,768,True,10,float;avx2;binary;int8;float16;mf;pca2;pca4;pca8;pca16;pca32;twostep_rf2;twostep_rf5;twostep_rf10;twostep_rf25;twostep_rf50;ts_mf_rf2;ts_mf_rf5;ts_mf_rf10;ts_mf_rf25;ts_mf_rf50,no dataset path found
python/jupyter/results/benchmark_dim768_k25_q.json,False,,True,1200000,True,768,True,25,float;avx2;binary;int8;float16;mf;pca2;pca4;pca8;pca16;pca32;twostep_rf2;twostep_rf5;twostep_rf10;twostep_rf25;twostep_rf50;ts_mf_rf2;ts_mf_rf5;ts_mf_rf10;ts_mf_rf25;ts_mf_rf50,no dataset path found
python/jupyter/results/benchmark_dim768_k25_re.json,False,,True,1200000,True,768,True,25,float;avx2;binary;int8;float16;mf;pca2;pca4;pca8;pca16;pca32;twostep_rf2;twostep_rf5;twostep_rf10;twostep_rf25;twostep_rf50;ts_mf_rf2;ts_mf_rf5;ts_mf_rf10;ts_mf_rf25;ts_mf_rf50,no dataset path found
python/jupyter/results/benchmark_dim768_k25_rv.json,False,,True,1200000,True,768,True,25,float;avx2;binary;int8;float16;mf;pca2;pca4;pca8;pca16;pca32;twostep_rf2;twostep_rf5;twostep_rf10;twostep_rf25;twostep_rf50;ts_mf_rf2;ts_mf_rf5;ts_mf_rf10;ts_mf_rf25;ts_mf_rf50,no dataset path found
python/jupyter/results/benchmark_results_1733419058.json,False,,True,1200000,True,1024,True,100,float;avx2;binary;int8;float16;mf;pca2;pca4;pca8;pca16;pca32;twostep_rf2;twostep_rf5;twostep_rf10;twostep_rf25;twostep_rf50;ts_mf_rf2;ts_mf_rf5;ts_mf_rf10;ts_mf_rf25;ts_mf_rf50,no dataset path found
