method,query_id,N,d,k,RF,exact_same_topk_id_list,same_topk_id_set,max_score_delta,ndcg_old,ndcg_timed,status
float32_avx2,0,1000,1024,100,0,True,True,0.0,1.0000000000000004,1.0000000000000004,PASS
binary,0,1000,1024,100,0,True,True,0.0,0.6697391225468126,0.6697391225468126,PASS
two_step_RF10,0,1000,1024,100,10,True,True,0.0,1.0000000000000004,1.0000000000000004,PASS
two_step_mf_RF10,0,1000,1024,100,10,True,True,0.0,0.984638912403817,0.984638912403817,PASS
float32_avx2,1,1000,1024,100,0,True,True,0.0,1.0000000000000004,1.0000000000000004,PASS
binary,1,1000,1024,100,0,True,True,0.0,0.6889020977594463,0.6889020977594463,PASS
two_step_RF10,1,1000,1024,100,10,True,True,0.0,1.0000000000000004,1.0000000000000004,PASS
two_step_mf_RF10,1,1000,1024,100,10,True,True,0.0,0.9920533476550851,0.9920533476550851,PASS
float32_avx2,2,1000,1024,100,0,True,True,0.0,1.0000000000000004,1.0000000000000004,PASS
binary,2,1000,1024,100,0,True,True,0.0,0.6547448007927138,0.6547448007927138,PASS
two_step_RF10,2,1000,1024,100,10,True,True,0.0,1.0000000000000004,1.0000000000000004,PASS
two_step_mf_RF10,2,1000,1024,100,10,True,True,0.0,0.9920451529928994,0.9920451529928994,PASS
float32_avx2,3,1000,1024,100,0,True,True,0.0,1.0000000000000004,1.0000000000000004,PASS
binary,3,1000,1024,100,0,True,True,0.0,0.6927839933458179,0.6927839933458179,PASS
two_step_RF10,3,1000,1024,100,10,True,True,0.0,1.0000000000000004,1.0000000000000004,PASS
two_step_mf_RF10,3,1000,1024,100,10,True,True,0.0,0.9924195638312738,0.9924195638312738,PASS
float32_avx2,4,1000,1024,100,0,True,True,0.0,1.0000000000000004,1.0000000000000004,PASS
binary,4,1000,1024,100,0,True,True,0.0,0.7024771260101607,0.7024771260101607,PASS
two_step_RF10,4,1000,1024,100,10,True,True,0.0,1.0000000000000004,1.0000000000000004,PASS
two_step_mf_RF10,4,1000,1024,100,10,True,True,0.0,0.9928144261114624,0.9928144261114624,PASS
