git_commit,machine,cpu_model,compiler,compile_flags,dataset,dataset_path,query_path,N,d,k,RF,method,query_id,repeat_id,T_query_sketch_ms,T_binary_scan_ms,T_candidate_selection_ms,T_rescore_ms,T_final_topk_ms,T_total_ms,T_component_sum_ms,T_unaccounted_ms,ndcg100,jaccard,num_survivors
98f78efdb563f6a554a068d4211510acb4b6ee20,meow1,AMD Ryzen 9 9950X 16-Core Processor,c++ (Ubuntu 15.2.0-4ubuntu4) 15.2.0,CMAKE_CXX_FLAGS:STRING= CMAKE_CXX_FLAGS_RELEASE:STRING=-O3 -DNDEBUG,wikimedia_wikipedia_mxbai,/home/yunchih/code/simsearch/python/out/wiki_mxbai_1024_N1200000_seed42.parquet,/home/yunchih/code/simsearch/python/query_embeddings/combined.jsonl,60000,1024,100,0,float32_avx2,0,0,0.0,0.0,0.0,0.0,0.0,5.654,0.0,5.654,0.9973866351991733,1.0,100
98f78efdb563f6a554a068d4211510acb4b6ee20,meow1,AMD Ryzen 9 9950X 16-Core Processor,c++ (Ubuntu 15.2.0-4ubuntu4) 15.2.0,CMAKE_CXX_FLAGS:STRING= CMAKE_CXX_FLAGS_RELEASE:STRING=-O3 -DNDEBUG,wikimedia_wikipedia_mxbai,/home/yunchih/code/simsearch/python/out/wiki_mxbai_1024_N1200000_seed42.parquet,/home/yunchih/code/simsearch/python/query_embeddings/combined.jsonl,60000,1024,100,0,binary,0,0,0.003957,0.173977,0.026209,0.0,0.0,0.211327,0.204143,0.007183999999999996,0.6565011261118574,0.5384615384615384,100
98f78efdb563f6a554a068d4211510acb4b6ee20,meow1,AMD Ryzen 9 9950X 16-Core Processor,c++ (Ubuntu 15.2.0-4ubuntu4) 15.2.0,CMAKE_CXX_FLAGS:STRING= CMAKE_CXX_FLAGS_RELEASE:STRING=-O3 -DNDEBUG,wikimedia_wikipedia_mxbai,/home/yunchih/code/simsearch/python/out/wiki_mxbai_1024_N1200000_seed42.parquet,/home/yunchih/code/simsearch/python/query_embeddings/combined.jsonl,60000,1024,100,10,two_step_RF10,0,0,0.003527,0.143189,0.127159,0.23954,0.00485,0.522192,0.518265,0.003927000000000014,0.9973866351991733,1.0,1000
98f78efdb563f6a554a068d4211510acb4b6ee20,meow1,AMD Ryzen 9 9950X 16-Core Processor,c++ (Ubuntu 15.2.0-4ubuntu4) 15.2.0,CMAKE_CXX_FLAGS:STRING= CMAKE_CXX_FLAGS_RELEASE:STRING=-O3 -DNDEBUG,wikimedia_wikipedia_mxbai,/home/yunchih/code/simsearch/python/out/wiki_mxbai_1024_N1200000_seed42.parquet,/home/yunchih/code/simsearch/python/query_embeddings/combined.jsonl,60000,1024,100,10,two_step_mf_RF10,0,0,0.003416,0.139933,0.118934,0.617871,0.004879,0.888269,0.885033,0.0032360000000000166,0.9827168381248046,0.9801980198019802,1000
98f78efdb563f6a554a068d4211510acb4b6ee20,meow1,AMD Ryzen 9 9950X 16-Core Processor,c++ (Ubuntu 15.2.0-4ubuntu4) 15.2.0,CMAKE_CXX_FLAGS:STRING= CMAKE_CXX_FLAGS_RELEASE:STRING=-O3 -DNDEBUG,wikimedia_wikipedia_mxbai,/home/yunchih/code/simsearch/python/out/wiki_mxbai_1024_N1200000_seed42.parquet,/home/yunchih/code/simsearch/python/query_embeddings/combined.jsonl,60000,1024,100,0,float32_avx2,1,0,0.0,0.0,0.0,0.0,0.0,5.714,0.0,5.714,0.9901201262944944,0.9801980198019802,100
98f78efdb563f6a554a068d4211510acb4b6ee20,meow1,AMD Ryzen 9 9950X 16-Core Processor,c++ (Ubuntu 15.2.0-4ubuntu4) 15.2.0,CMAKE_CXX_FLAGS:STRING= CMAKE_CXX_FLAGS_RELEASE:STRING=-O3 -DNDEBUG,wikimedia_wikipedia_mxbai,/home/yunchih/code/simsearch/python/out/wiki_mxbai_1024_N1200000_seed42.parquet,/home/yunchih/code/simsearch/python/query_embeddings/combined.jsonl,60000,1024,100,0,binary,1,0,0.004178,0.156033,0.02645,0.0,0.0,0.191921,0.186661,0.005260000000000015,0.5769615289352349,0.4084507042253521,100
98f78efdb563f6a554a068d4211510acb4b6ee20,meow1,AMD Ryzen 9 9950X 16-Core Processor,c++ (Ubuntu 15.2.0-4ubuntu4) 15.2.0,CMAKE_CXX_FLAGS:STRING= CMAKE_CXX_FLAGS_RELEASE:STRING=-O3 -DNDEBUG,wikimedia_wikipedia_mxbai,/home/yunchih/code/simsearch/python/out/wiki_mxbai_1024_N1200000_seed42.parquet,/home/yunchih/code/simsearch/python/query_embeddings/combined.jsonl,60000,1024,100,10,two_step_RF10,1,0,0.003486,0.118953,0.120476,0.241624,0.0051,0.492225,0.489639,0.0025860000000000327,0.9901201262944944,0.9801980198019802,1000
98f78efdb563f6a554a068d4211510acb4b6ee20,meow1,AMD Ryzen 9 9950X 16-Core Processor,c++ (Ubuntu 15.2.0-4ubuntu4) 15.2.0,CMAKE_CXX_FLAGS:STRING= CMAKE_CXX_FLAGS_RELEASE:STRING=-O3 -DNDEBUG,wikimedia_wikipedia_mxbai,/home/yunchih/code/simsearch/python/out/wiki_mxbai_1024_N1200000_seed42.parquet,/home/yunchih/code/simsearch/python/query_embeddings/combined.jsonl,60000,1024,100,10,two_step_mf_RF10,1,0,0.003396,0.119475,0.113493,0.613123,0.004969,0.857873,0.854456,0.0034170000000000034,0.9858040388010056,0.9801980198019802,1000
98f78efdb563f6a554a068d4211510acb4b6ee20,meow1,AMD Ryzen 9 9950X 16-Core Processor,c++ (Ubuntu 15.2.0-4ubuntu4) 15.2.0,CMAKE_CXX_FLAGS:STRING= CMAKE_CXX_FLAGS_RELEASE:STRING=-O3 -DNDEBUG,wikimedia_wikipedia_mxbai,/home/yunchih/code/simsearch/python/out/wiki_mxbai_1024_N1200000_seed42.parquet,/home/yunchih/code/simsearch/python/query_embeddings/combined.jsonl,60000,1024,100,0,float32_avx2,2,0,0.0,0.0,0.0,0.0,0.0,5.558,0.0,5.558,0.9966517225713135,1.0,100
98f78efdb563f6a554a068d4211510acb4b6ee20,meow1,AMD Ryzen 9 9950X 16-Core Processor,c++ (Ubuntu 15.2.0-4ubuntu4) 15.2.0,CMAKE_CXX_FLAGS:STRING= CMAKE_CXX_FLAGS_RELEASE:STRING=-O3 -DNDEBUG,wikimedia_wikipedia_mxbai,/home/yunchih/code/simsearch/python/out/wiki_mxbai_1024_N1200000_seed42.parquet,/home/yunchih/code/simsearch/python/query_embeddings/combined.jsonl,60000,1024,100,0,binary,2,0,0.004167,0.157136,0.025337,0.0,0.0,0.192212,0.18664,0.005571999999999994,0.5705343198837818,0.45985401459854014,100
